workload,policy,hit_rate,hit_rate_percent,nvm_writes,weighted_access_cost,migrations,avg_decision_time_ms,decision_count,total_accesses,misses,nvm_reads,train_trace,valid_trace,test_trace,jsonl,candidate_count,rank_guard,checkpoint
parsec_streamcluster,lru,0.95354,95.354,585,305562.0,9276,0.0002867291304361157,9276,200000,9292,8707,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_test.csv,,8,0,
parsec_streamcluster,random,0.950145,95.0145,777,314183.0,9955,0.0011313935841884162,9955,200000,9971,9194,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_test.csv,,8,0,
parsec_streamcluster,lfu,0.928365,92.8365,740,361877.0,14311,0.006410547863840682,14311,200000,14327,13587,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_test.csv,,8,0,
parsec_streamcluster,clock,0.955235,95.5235,574,301767.0,8937,0.0014444793853481516,8937,200000,8953,8379,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_test.csv,,8,0,
parsec_streamcluster,qmap,0.958495,95.84949999999999,582,294643.0,8285,2.1788620218571655,8285,200000,8301,7719,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_test.csv,dataset/jsonl/real_workload_suite_pressure/selected/parsec_streamcluster_train.jsonl,8,2,outputs/checkpoints/real_workload_suite_pressure/selected/parsec_streamcluster/qmap_epoch_10.pth
parsec_dedup,lru,0.999485,99.9485,99,201567.0,87,0.0004943824191203063,87,200000,103,4,dataset/processed/real_workload_suite_pressure/selected/parsec_dedup_train.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_dedup_valid.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_dedup_test.csv,,8,0,
parsec_dedup,random,0.99927,99.92699999999999,105,202076.0,130,0.0016861380292819096,130,200000,146,41,dataset/processed/real_workload_suite_pressure/selected/parsec_dedup_train.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_dedup_valid.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_dedup_test.csv,,8,0,
parsec_dedup,lfu,0.998815,99.8815,233,203845.0,221,0.006243160913163181,221,200000,237,4,dataset/processed/real_workload_suite_pressure/selected/parsec_dedup_train.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_dedup_valid.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_dedup_test.csv,,8,0,
parsec_dedup,clock,0.99948,99.94800000000001,100,201584.0,88,0.0016347409903325818,88,200000,104,4,dataset/processed/real_workload_suite_pressure/selected/parsec_dedup_train.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_dedup_valid.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_dedup_test.csv,,8,0,
parsec_dedup,qmap,0.999485,99.9485,99,201567.0,87,8.907984883321085,87,200000,103,4,dataset/processed/real_workload_suite_pressure/selected/parsec_dedup_train.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_dedup_valid.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_dedup_test.csv,dataset/jsonl/real_workload_suite_pressure/selected/parsec_dedup_train.jsonl,8,2,outputs/checkpoints/real_workload_suite_pressure/selected/parsec_dedup/qmap_epoch_10.pth
