workload,policy,hit_rate,hit_rate_percent,nvm_writes,weighted_access_cost,migrations,avg_decision_time_ms,decision_count,total_accesses,misses,nvm_reads,train_trace,valid_trace,test_trace,jsonl,checkpoint
parsec_blackscholes,lru,0.9899,98.99,12,11023.0,85,0.0002939966233337627,85,10000,101,89,dataset/processed/parsec_blackscholes_train.csv,dataset/processed/parsec_blackscholes_valid.csv,dataset/processed/parsec_blackscholes_test.csv,,
parsec_blackscholes,random,0.9833,98.33,22,11809.0,151,0.0017092051292886797,151,10000,167,145,dataset/processed/parsec_blackscholes_train.csv,dataset/processed/parsec_blackscholes_valid.csv,dataset/processed/parsec_blackscholes_test.csv,,
parsec_blackscholes,lfu,0.9676,96.76,24,13548.0,308,0.0058055761596792705,308,10000,324,300,dataset/processed/parsec_blackscholes_train.csv,dataset/processed/parsec_blackscholes_valid.csv,dataset/processed/parsec_blackscholes_test.csv,,
parsec_blackscholes,clock,0.9887,98.87,12,11155.0,97,0.001709044133264994,97,10000,113,101,dataset/processed/parsec_blackscholes_train.csv,dataset/processed/parsec_blackscholes_valid.csv,dataset/processed/parsec_blackscholes_test.csv,,
parsec_blackscholes,qmap,0.9885,98.85000000000001,9,11159.0,99,8.158956193412193,99,10000,115,106,dataset/processed/parsec_blackscholes_train.csv,dataset/processed/parsec_blackscholes_valid.csv,dataset/processed/parsec_blackscholes_test.csv,dataset/jsonl/real_pilot_dram16_c8_rankfix/parsec_blackscholes_train.jsonl,outputs/checkpoints/real_pilot_dram16_c8_rankfix/parsec_blackscholes/qmap_epoch_10.pth
parsec_canneal,lru,0.9417,94.17,41,16499.0,567,0.00038845431736327145,567,10000,583,542,dataset/processed/parsec_canneal_train.csv,dataset/processed/parsec_canneal_valid.csv,dataset/processed/parsec_canneal_test.csv,,
parsec_canneal,random,0.9378,93.78,55,17012.0,606,0.0012158393159066097,606,10000,622,567,dataset/processed/parsec_canneal_train.csv,dataset/processed/parsec_canneal_valid.csv,dataset/processed/parsec_canneal_test.csv,,
parsec_canneal,lfu,0.9598,95.98,52,14574.0,386,0.006479827609936191,386,10000,402,350,dataset/processed/parsec_canneal_train.csv,dataset/processed/parsec_canneal_valid.csv,dataset/processed/parsec_canneal_test.csv,,
parsec_canneal,clock,0.9447,94.47,37,16145.0,537,0.001520166447597731,537,10000,553,516,dataset/processed/parsec_canneal_train.csv,dataset/processed/parsec_canneal_valid.csv,dataset/processed/parsec_canneal_test.csv,,
parsec_canneal,qmap,0.9608,96.08,41,14398.0,376,4.121737521230937,376,10000,392,351,dataset/processed/parsec_canneal_train.csv,dataset/processed/parsec_canneal_valid.csv,dataset/processed/parsec_canneal_test.csv,dataset/jsonl/real_pilot_dram16_c8_rankfix/parsec_canneal_train.jsonl,outputs/checkpoints/real_pilot_dram16_c8_rankfix/parsec_canneal/qmap_epoch_10.pth
parsec_streamcluster,lru,0.9409,94.08999999999999,41,16587.0,575,0.00040605259330376333,575,10000,591,550,dataset/processed/parsec_streamcluster_train.csv,dataset/processed/parsec_streamcluster_valid.csv,dataset/processed/parsec_streamcluster_test.csv,,
parsec_streamcluster,random,0.9373,93.73,51,17043.0,611,0.0015494974601385832,611,10000,627,576,dataset/processed/parsec_streamcluster_train.csv,dataset/processed/parsec_streamcluster_valid.csv,dataset/processed/parsec_streamcluster_test.csv,,
parsec_streamcluster,lfu,0.9605,96.05,48,14473.0,379,0.005841868288205607,379,10000,395,347,dataset/processed/parsec_streamcluster_train.csv,dataset/processed/parsec_streamcluster_valid.csv,dataset/processed/parsec_streamcluster_test.csv,,
parsec_streamcluster,clock,0.9432,94.32000000000001,32,16280.0,552,0.0014835555254873159,552,10000,568,536,dataset/processed/parsec_streamcluster_train.csv,dataset/processed/parsec_streamcluster_valid.csv,dataset/processed/parsec_streamcluster_test.csv,,
parsec_streamcluster,qmap,0.962,96.2,40,14260.0,364,4.004534377440155,364,10000,380,340,dataset/processed/parsec_streamcluster_train.csv,dataset/processed/parsec_streamcluster_valid.csv,dataset/processed/parsec_streamcluster_test.csv,dataset/jsonl/real_pilot_dram16_c8_rankfix/parsec_streamcluster_train.jsonl,outputs/checkpoints/real_pilot_dram16_c8_rankfix/parsec_streamcluster/qmap_epoch_10.pth
parsec_dedup,lru,0.999,99.9,7,10052.0,0,0.0,0,10000,10,3,dataset/processed/parsec_dedup_train.csv,dataset/processed/parsec_dedup_valid.csv,dataset/processed/parsec_dedup_test.csv,,
parsec_dedup,random,0.999,99.9,7,10052.0,0,0.0,0,10000,10,3,dataset/processed/parsec_dedup_train.csv,dataset/processed/parsec_dedup_valid.csv,dataset/processed/parsec_dedup_test.csv,,
parsec_dedup,lfu,0.999,99.9,7,10052.0,0,0.0,0,10000,10,3,dataset/processed/parsec_dedup_train.csv,dataset/processed/parsec_dedup_valid.csv,dataset/processed/parsec_dedup_test.csv,,
parsec_dedup,clock,0.999,99.9,7,10052.0,0,0.0,0,10000,10,3,dataset/processed/parsec_dedup_train.csv,dataset/processed/parsec_dedup_valid.csv,dataset/processed/parsec_dedup_test.csv,,
parsec_dedup,qmap,0.999,99.9,7,10052.0,0,0.0,0,10000,10,3,dataset/processed/parsec_dedup_train.csv,dataset/processed/parsec_dedup_valid.csv,dataset/processed/parsec_dedup_test.csv,dataset/jsonl/real_pilot_dram16_c8_rankfix/parsec_dedup_train.jsonl,outputs/checkpoints/real_pilot_dram16_c8_rankfix/parsec_dedup/qmap_epoch_10.pth
